Area,LAT,LON,BID,Pop
9009,40.1094998,-88.2124424,2013,14
7434,40.1205105,-88.2249145,3030,69
591,40.127501,-88.1860208,4021,118
18572,40.098559,-88.1870462,2024,18
18830,40.1005588,-88.1887193,2013,14
40228,40.1119318,-88.1968202,4004,32
310520,40.0872467,-88.2117864,2000,105
7686,40.1204997,-88.2279803,3032,32
8106,40.1161536,-88.2215384,2000,105
29737,40.1001907,-88.1846394,1020,39
6347,40.1103845,-88.1998559,1029,17
16565,40.114106,-88.213607,1022,142
9773,40.1180521,-88.218156,4029,38
27650,40.1033581,-88.2029092,4002,66
8262,40.1070775,-88.2053402,5020,13
14047,40.0873606,-88.1637568,5044,19
8937,40.1088872,-88.2031065,5001,29
28006,40.1014376,-88.1793021,5015,29
26313,40.1012876,-88.2036679,4004,32
10281,40.0994888,-88.2089564,5011,36
13299,40.1041511,-88.2184166,3005,125
16042,40.1064675,-88.2246768,2004,24
22899,40.1013054,-88.2012697,4005,36
9014,40.1089283,-88.1996855,4028,23
6393,40.1214578,-88.2264538,3023,25
13234,40.1023369,-88.2183781,3007,73
6697,40.1131173,-88.2125041,1029,17
257,40.1288379,-88.222058,1045,9
9541,40.1120958,-88.2043752,1020,39
39620,40.0870206,-88.2019043,4024,57
25377,40.099561,-88.2006797,4008,22
26795,40.0926576,-88.1912418,2011,20
24262,40.0898424,-88.2071458,3005,125
9384,40.1085692,-88.1948168,4019,12
21122,40.1065804,-88.2067271,5022,69
274,40.0870261,-88.1923149,4016,22
5013,40.106005,-88.1953476,4044,5
25304,40.1159971,-88.2140997,1017,22
8940,40.1189957,-88.2278613,4012,76
8874,40.1101417,-88.1954555,4013,35
27859,40.1050819,-88.2160491,4007,35
7457,40.120018,-88.2279719,4006,32
7617,40.1147423,-88.2215212,2012,17
8222,40.117184,-88.2117892,2019,22
9667,40.1032877,-88.1859659,1014,101
28527,40.1319283,-88.1952172,4006,32
9023,40.1080751,-88.2030833,5015,29
5651,40.1156805,-88.220033,3003,48
64969,40.098258,-88.182402,5021,21
3515,40.1172025,-88.2094757,2014,9
19282,40.0867648,-88.1929006,4017,35
22635,40.1066802,-88.1996547,4038,56
2049,40.1058178,-88.1750979,3030,69
18693,40.1120768,-88.206184,1045,9
54532,40.1180001,-88.1652117,2028,23
35050,40.0999881,-88.220519,1014,101
3583,40.1109336,-88.2099115,2001,16
471843,40.13898,-88.1969959,1005,2
7107,40.1130304,-88.2169462,3017,90
17678,40.1100366,-88.2043331,1039,7
46462,40.1010138,-88.1975344,3007,73
27158,40.0878583,-88.1784588,5060,43
13705,40.1251542,-88.2043398,2005,16
7068,40.1096735,-88.2008084,4026,10
24825,40.1123578,-88.2003056,1017,22
2954,40.1360774,-88.2195776,1014,101
19771,40.1036671,-88.1836282,1022,142
230611,40.1099613,-88.1654038,2054,12
13926,40.1349944,-88.2245481,1022,142
16968,40.0820314,-88.1840673,1018,22
11786,40.1140377,-88.2200099,3009,140
18276,40.1012594,-88.2183581,3008,85
7429,40.121465,-88.2249332,3022,47
13244,40.1102022,-88.216887,2009,18
7260,40.1152154,-88.2215182,2007,16
74777,40.084726,-88.1925293,4018,29
13538,40.1060814,-88.2109628,4001,42
20304,40.119199,-88.2163418,2010,14
248,40.1274958,-88.1904408,4029,38
6386,40.1219353,-88.2264614,3020,26
4918,40.1127248,-88.1940034,4002,66
20242,40.1037337,-88.2138237,4011,52
16858,40.1139734,-88.2184347,3014,174
313,40.1022947,-88.1906978,2006,13
6307,40.122888,-88.2264665,3014,174
158030,40.10376,-88.2073179,5000,63
6150,40.1238436,-88.1967403,5011,36
98379,40.1381669,-88.1814844,3017,90
55210,40.1087344,-88.2247204,2002,22
25792,40.1071113,-88.1725289,3011,96
15167,40.1137239,-88.2167162,3015,203
33613,40.0857703,-88.171496,5064,19
7376,40.1224188,-88.2249401,3016,74
84351,40.1154091,-88.1695425,2030,5
4984,40.1119275,-88.2031936,1034,18
25144,40.1002428,-88.2159573,4016,22
71328,40.128727,-88.1973077,3030,69
3975,40.1019177,-88.1904248,2007,16
23271,40.1376278,-88.193249,3019,41
26888,40.1044345,-88.1984635,3002,116
2379,40.0993762,-88.2208837,1015,11
3859,40.1096864,-88.1999901,4025,22
19505,40.1240866,-88.2090111,2004,24
5670,40.1104879,-88.2110519,2003,51
53997,40.1024323,-88.202592,4003,16
7555,40.1214534,-88.2279963,3024,34
5522,40.1105103,-88.2096239,2004,24
6603,40.1073276,-88.2095464,3016,74
10902,40.1102367,-88.2138436,2007,16
22013,40.1066568,-88.2030482,5018,48
14886,40.1140153,-88.2231666,2013,14
25156,40.0988646,-88.1922231,2019,22
22557,40.1075235,-88.2203972,2010,14
45097,40.1080191,-88.2227153,2011,20
40493,40.1218852,-88.2175692,2012,17
25641,40.0856475,-88.2057649,3014,174
20643,40.1187028,-88.2181661,4030,15
4129,40.1131705,-88.2078192,1030,32
24483,40.0986337,-88.2159279,4018,29
7904,40.1111631,-88.2044569,1037,6
69492,40.0963756,-88.2276371,1037,6
